reference,source,nRF
run2_Jetz_BigBird_Familybackbone,indv_50_sites_50_loci_70,0.096034922
run3_Jetz_BigBird_Genusbackbone,indv_50_sites_50_loci_70,0.094579847
run4_optimal_NoBackbone,indv_50_sites_50_loci_70,0.106507791
run5_bootstrap_NoBackbone,indv_50_sites_50_loci_70,0.104817948
run6_optimal_FamilyBackbone,indv_50_sites_50_loci_70,0.085441878
run7_optimal_GenusBackbone,indv_50_sites_50_loci_70,0.069274356
run8_FamBackbone2v1,indv_50_sites_50_loci_70,0.085106383
run9_GenusBackbone2v1,indv_50_sites_50_loci_70,0.067176406
run1_Jetz_BigBird,indv_50_sites_90_loci_90,0.220722364
run2_Jetz_BigBird_Familybackbone,indv_50_sites_90_loci_90,0.156784285
run3_Jetz_BigBird_Genusbackbone,indv_50_sites_90_loci_90,0.155329211
run4_optimal_NoBackbone,indv_50_sites_90_loci_90,0.167369386
run5_bootstrap_NoBackbone,indv_50_sites_90_loci_90,0.166237587
run6_optimal_FamilyBackbone,indv_50_sites_90_loci_90,0.146314631
run7_optimal_GenusBackbone,indv_50_sites_90_loci_90,0.13653811
run8_FamBackbone2v1,indv_50_sites_90_loci_90,0.146001467
run9_GenusBackbone2v1,indv_50_sites_90_loci_90,0.135263062
run2_Jetz_BigBird_Familybackbone,run1_Jetz_BigBird,0.083910981
run3_Jetz_BigBird_Genusbackbone,run1_Jetz_BigBird,0.080992339
run4_optimal_NoBackbone,run1_Jetz_BigBird,0.19078341
run5_bootstrap_NoBackbone,run1_Jetz_BigBird,0.183801775
run6_optimal_FamilyBackbone,run1_Jetz_BigBird,0.170353982
run7_optimal_GenusBackbone,run1_Jetz_BigBird,0.157875391
run8_FamBackbone2v1,run1_Jetz_BigBird,0.170047953
run9_GenusBackbone2v1,run1_Jetz_BigBird,0.154676917
run3_Jetz_BigBird_Genusbackbone,run2_Jetz_BigBird_Familybackbone,0.008730447
run4_optimal_NoBackbone,run2_Jetz_BigBird_Familybackbone,0.122955339
run5_bootstrap_NoBackbone,run2_Jetz_BigBird_Familybackbone,0.118362832
run6_optimal_FamilyBackbone,run2_Jetz_BigBird_Familybackbone,0.100367647
run7_optimal_GenusBackbone,run2_Jetz_BigBird_Familybackbone,0.087044163
run8_FamBackbone2v1,run2_Jetz_BigBird_Familybackbone,0.100036778
run9_GenusBackbone2v1,run2_Jetz_BigBird_Familybackbone,0.084504472
run4_optimal_NoBackbone,run3_Jetz_BigBird_Genusbackbone,0.121117442
run5_bootstrap_NoBackbone,run3_Jetz_BigBird_Genusbackbone,0.116519174
run6_optimal_FamilyBackbone,run3_Jetz_BigBird_Genusbackbone,0.098529412
run7_optimal_GenusBackbone,run3_Jetz_BigBird_Genusbackbone,0.085211655
run8_FamBackbone2v1,run3_Jetz_BigBird_Genusbackbone,0.098197867
run9_GenusBackbone2v1,run3_Jetz_BigBird_Genusbackbone,0.082679321
run5_bootstrap_NoBackbone,run4_optimal_NoBackbone,0.034380227
run6_optimal_FamilyBackbone,run4_optimal_NoBackbone,0.053548268
run7_optimal_GenusBackbone,run4_optimal_NoBackbone,0.04913188
run8_FamBackbone2v1,run4_optimal_NoBackbone,0.053197405
run9_GenusBackbone2v1,run4_optimal_NoBackbone,0.050404709
run6_optimal_FamilyBackbone,run5_bootstrap_NoBackbone,0.051301115
run7_optimal_GenusBackbone,run5_bootstrap_NoBackbone,0.052065963
run8_FamBackbone2v1,run5_bootstrap_NoBackbone,0.050948308
run9_GenusBackbone2v1,run5_bootstrap_NoBackbone,0.05074737
run7_optimal_GenusBackbone,run6_optimal_FamilyBackbone,0.028634768
run8_FamBackbone2v1,run6_optimal_FamilyBackbone,0.000370782
run9_GenusBackbone2v1,run6_optimal_FamilyBackbone,0.024471021
run8_FamBackbone2v1,run7_optimal_GenusBackbone,0.028275735
run9_GenusBackbone2v1,run7_optimal_GenusBackbone,0.007703595
run9_GenusBackbone2v1,run8_FamBackbone2v1,0.024111909
full_IQTREE,full_raxml,0.035195936
full_IQTREE,indv_0_sites_50_loci_70,0.051886792
full_IQTREE,indv_0_sites_90_loci_50,0.068577649
full_IQTREE,indv_25_sites_90_loci_70,0.132801161
full_IQTREE,indv_50_sites_50_loci_50,0.067489115
full_IQTREE,indv_50_sites_50_loci_70,0.063497823
full_IQTREE,indv_50_sites_90_loci_90,0.131712627
full_IQTREE,run1_Jetz_BigBird,0.160890186
full_IQTREE,run2_Jetz_BigBird_Familybackbone,0.092033467
full_IQTREE,run3_Jetz_BigBird_Genusbackbone,0.090214623
full_IQTREE,run4_optimal_NoBackbone,0.08964253
full_IQTREE,run5_bootstrap_NoBackbone,0.087899963
full_IQTREE,run6_optimal_FamilyBackbone,0.068573524
full_IQTREE,run7_optimal_GenusBackbone,0.052823981
full_IQTREE,run8_FamBackbone2v1,0.068231842
full_IQTREE,run9_GenusBackbone2v1,0.051156017
full_raxml,indv_0_sites_50_loci_70,0.034833091
full_raxml,indv_0_sites_90_loci_50,0.04862119
full_raxml,indv_25_sites_90_loci_70,0.125544267
full_raxml,indv_50_sites_50_loci_50,0.051161103
full_raxml,indv_50_sites_50_loci_70,0.04862119
full_raxml,indv_50_sites_90_loci_90,0.124818578
full_raxml,run1_Jetz_BigBird,0.14447282
full_raxml,run2_Jetz_BigBird_Familybackbone,0.071298654
full_raxml,run3_Jetz_BigBird_Genusbackbone,0.069843579
full_raxml,run4_optimal_NoBackbone,0.068744271
full_raxml,run5_bootstrap_NoBackbone,0.067304156
full_raxml,run6_optimal_FamilyBackbone,0.047671434
full_raxml,run7_optimal_GenusBackbone,0.031621276
full_raxml,run8_FamBackbone2v1,0.047322084
full_raxml,run9_GenusBackbone2v1,0.029674131
indv_0_sites_50_loci_70,indv_0_sites_90_loci_50,0.056966618
indv_0_sites_50_loci_70,indv_25_sites_90_loci_70,0.124455733
indv_0_sites_50_loci_70,indv_50_sites_50_loci_50,0.046444122
indv_0_sites_50_loci_70,indv_50_sites_50_loci_70,0.051161103
indv_0_sites_50_loci_70,indv_50_sites_90_loci_90,0.125181422
indv_0_sites_50_loci_70,run1_Jetz_BigBird,0.151404597
indv_0_sites_50_loci_70,run2_Jetz_BigBird_Familybackbone,0.081847945
indv_0_sites_50_loci_70,run3_Jetz_BigBird_Genusbackbone,0.079301564
indv_0_sites_50_loci_70,run4_optimal_NoBackbone,0.086342805
indv_0_sites_50_loci_70,run5_bootstrap_NoBackbone,0.08422214
indv_0_sites_50_loci_70,run6_optimal_FamilyBackbone,0.065639897
indv_0_sites_50_loci_70,run7_optimal_GenusBackbone,0.049533906
indv_0_sites_50_loci_70,run8_FamBackbone2v1,0.065297139
indv_0_sites_50_loci_70,run9_GenusBackbone2v1,0.047879119
indv_0_sites_90_loci_50,indv_25_sites_90_loci_70,0.123004354
indv_0_sites_90_loci_50,indv_50_sites_50_loci_50,0.067851959
indv_0_sites_90_loci_50,indv_50_sites_50_loci_70,0.072931785
indv_0_sites_90_loci_50,indv_50_sites_90_loci_90,0.123367199
indv_0_sites_90_loci_50,run1_Jetz_BigBird,0.155782561
indv_0_sites_90_loci_50,run2_Jetz_BigBird_Familybackbone,0.089123318
indv_0_sites_90_loci_50,run3_Jetz_BigBird_Genusbackbone,0.087304474
indv_0_sites_90_loci_50,run4_optimal_NoBackbone,0.102474794
indv_0_sites_90_loci_50,run5_bootstrap_NoBackbone,0.099668996
indv_0_sites_90_loci_50,run6_optimal_FamilyBackbone,0.078841217
indv_0_sites_90_loci_50,run7_optimal_GenusBackbone,0.064887589
indv_0_sites_90_loci_50,run8_FamBackbone2v1,0.078503302
indv_0_sites_90_loci_50,run9_GenusBackbone2v1,0.062807209
indv_25_sites_90_loci_70,indv_50_sites_50_loci_50,0.124092888
indv_25_sites_90_loci_70,indv_50_sites_50_loci_70,0.120101597
indv_25_sites_90_loci_70,indv_50_sites_90_loci_90,0.108853411
indv_25_sites_90_loci_70,run1_Jetz_BigBird,0.214155418
indv_25_sites_90_loci_70,run2_Jetz_BigBird_Familybackbone,0.149145144
indv_25_sites_90_loci_70,run3_Jetz_BigBird_Genusbackbone,0.147690069
indv_25_sites_90_loci_70,run4_optimal_NoBackbone,0.168469294
indv_25_sites_90_loci_70,run5_bootstrap_NoBackbone,0.164766458
indv_25_sites_90_loci_70,run6_optimal_FamilyBackbone,0.146314631
indv_25_sites_90_loci_70,run7_optimal_GenusBackbone,0.132151343
indv_25_sites_90_loci_70,run8_FamBackbone2v1,0.146001467
indv_25_sites_90_loci_70,run9_GenusBackbone2v1,0.130165665
indv_50_sites_50_loci_50,indv_50_sites_50_loci_70,0.045355588
indv_50_sites_50_loci_50,indv_50_sites_90_loci_90,0.127358491
indv_50_sites_50_loci_50,run1_Jetz_BigBird,0.166727472
indv_50_sites_50_loci_50,run2_Jetz_BigBird_Familybackbone,0.09639869
indv_50_sites_50_loci_50,run3_Jetz_BigBird_Genusbackbone,0.094216079
indv_50_sites_50_loci_50,run4_optimal_NoBackbone,0.102474794
indv_50_sites_50_loci_50,run5_bootstrap_NoBackbone,0.099301214
indv_50_sites_50_loci_50,run6_optimal_FamilyBackbone,0.081408141
indv_50_sites_50_loci_50,run7_optimal_GenusBackbone,0.067080972
indv_50_sites_50_loci_50,run8_FamBackbone2v1,0.081071167
indv_50_sites_50_loci_50,run9_GenusBackbone2v1,0.064627708
indv_50_sites_50_loci_70,indv_50_sites_90_loci_90,0.119375907
indv_50_sites_50_loci_70,run1_Jetz_BigBird,0.166727472
indv_50_sites_50_loci_70,run2_Jetz_BigBird_Familybackbone,0.096034922
indv_50_sites_50_loci_70,run3_Jetz_BigBird_Genusbackbone,0.094579847
indv_50_sites_50_loci_70,run4_optimal_NoBackbone,0.106507791
indv_50_sites_50_loci_70,run5_bootstrap_NoBackbone,0.104817948
indv_50_sites_50_loci_70,run6_optimal_FamilyBackbone,0.085441878
indv_50_sites_50_loci_70,run7_optimal_GenusBackbone,0.069274356
indv_50_sites_50_loci_70,run8_FamBackbone2v1,0.085106383
indv_50_sites_50_loci_70,run9_GenusBackbone2v1,0.067176406
indv_50_sites_90_loci_90,run1_Jetz_BigBird,0.220722364
indv_50_sites_90_loci_90,run2_Jetz_BigBird_Familybackbone,0.156784285
