# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.06247703050349136	340.0	5442.0	0.9286494357480888	0.9465677179962895	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.060033045713236644	327.0	5447.0	0.9302325581395349	0.9499072356215214	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.05929869653020011	323.0	5447.0	0.9309593023255814	0.9506493506493506	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.06007716332904648	327.0	5443.0	0.9308588064046579	0.9491651205936921	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.06806475349521707	370.0	5436.0	0.9241152863918278	0.9398886827458256	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.026967528893780957	147.0	5451.0	0.9622641509433962	0.9840445269016698	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.028802054668868097	157.0	5451.0	0.9604499274310595	0.9821892393320965	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.06444525814719883	352.0	5462.0	0.9301055697124135	0.9410681399631676	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.06274007682458387	343.0	5467.0	0.9309593023255814	0.943646408839779	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.06310590817633072	345.0	5467.0	0.9305959302325582	0.9432780847145488	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.059491122094087495	325.0	5463.0	0.9348617176128093	0.9462246777163904	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.06854838709677419	374.0	5456.0	0.9270339292229114	0.9359116022099447	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.01919210382014257	105.0	5471.0	0.9735123367198839	0.9882136279926336	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/D9_MP_supertree_trimmed_rooted.tre	2758	0.01699872052641199	93.0	5471.0	0.9756894049346879	0.9904235727440147	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.004909983633387889	27.0	5499.0	0.9941860465116279	0.995995631598107	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.013638843426077468	75.0	5499.0	0.9854651162790697	0.9872588278121587	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.013284804367606916	73.0	5495.0	0.9865356622998545	0.9868947943210775	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.021865889212827987	120.0	5488.0	0.9792046698285297	0.9770658900618857	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.060149009631110306	331.0	5503.0	0.9383164005805515	0.9413906079359301	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/S11_MP_supertree_rooted.tre	2758	0.06632745775031801	365.0	5503.0	0.9321480406386067	0.93520203858755	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/S13_MP_supertree_rooted.tre	2758	0.01126453488372093	62.0	5504.0	0.9887354651162791	0.9887354651162791	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/S13_MP_supertree_rooted.tre	2758	0.011636363636363636	64.0	5500.0	0.9890829694323144	0.9876453488372093	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/S13_MP_supertree_rooted.tre	2758	0.019843437101765882	109.0	5493.0	0.9821233126596133	0.9781976744186046	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/S13_MP_supertree_rooted.tre	2758	0.058460421205519246	322.0	5508.0	0.940856313497823	0.9422238372093024	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/S13_MP_supertree_rooted.tre	2758	0.06463326071169208	356.0	5508.0	0.9346879535558781	0.936046511627907	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/S16_MP_supertree_rooted.tre	2758	0.005818181818181818	32.0	5500.0	0.99490538573508	0.9934593023255814	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/S16_MP_supertree_rooted.tre	2758	0.014381940651738576	79.0	5493.0	0.9875957679678949	0.9836482558139535	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/S16_MP_supertree_rooted.tre	2758	0.05337690631808279	294.0	5508.0	0.9459361393323658	0.9473110465116279	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/S16_MP_supertree_rooted.tre	2758	0.05954974582425563	328.0	5508.0	0.9397677793904209	0.9411337209302325	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/S19_MP_supertree_trimmed_rooted.tre	2758	0.010748770267808344	59.0	5489.0	0.9905144107989785	0.9879912663755459	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/S19_MP_supertree_trimmed_rooted.tre	2758	0.0501453488372093	276.0	5504.0	0.9484760522496372	0.9512372634643377	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/S19_MP_supertree_trimmed_rooted.tre	2758	0.0559593023255814	308.0	5504.0	0.9426705370101597	0.9454148471615721	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/S9_MP_supertree_rooted.tre	2758	0.05912315808622885	325.0	5497.0	0.9383164005805515	0.9434512951477563	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/S9_MP_supertree_rooted.tre	2758	0.06494451519010369	357.0	5497.0	0.9325108853410741	0.9376140094855892	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/full-raxml-itol-export_2758_reconciled.tre	2758	0.008708272859216255	48.0	5512.0	0.9912917271407837	0.9912917271407837	1	NA
