# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.03527691464083348	193.0	5471.0	0.9720073664825046	0.9575471698113207	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.06523714337634018	359.0	5503.0	0.9362941390607936	0.9332365747460087	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.06245461147421932	344.0	5508.0	0.9382267441860465	0.9368650217706821	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.05337690631808279	294.0	5508.0	0.9473110465116279	0.9459361393323658	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.05813953488372093	320.0	5504.0	0.9432314410480349	0.9404934687953556	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.06603601964708022	363.0	5497.0	0.9365195184239329	0.931422351233672	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.027213352685050797	150.0	5512.0	0.9727866473149492	0.9727866473149492	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/02_G50_i0s50l50_parsB_rooted.tre	2758	0.027576197387518143	152.0	5512.0	0.9724238026124818	0.9724238026124818	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/12_F70_i50s90l70_parsDstart_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.1113933236574746	614.0	5512.0	0.8886066763425254	0.8886066763425254	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/17_F50_i25s90l50_parsC_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.11865021770682148	654.0	5512.0	0.8813497822931785	0.8813497822931785	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C12_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.13376953834969102	736.0	5502.0	0.8678077203204662	0.8646589259796807	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C14_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.13294587722484563	732.0	5506.0	0.868	0.8661103047895501	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.1320754716981132	728.0	5512.0	0.8679245283018868	0.8679245283018868	1	NA
