taxon,palgalans,nonlb,water,raptor,cor1,alcedin,pici,par+,psit,psitac,sub1,furn1,furn2,furn3,thm1,thm2,sub2,sub3,tyr1,tyr2,tyr3,tyr4,osc1,osc2,osc3
PSITTACIFORMES_Psittacidae_Psittacus timneh,,,,1, , , ,1,1, , , , , , , , , ,  , , , , , , 
PSITTACIFORMES_Psittacidae_psittacus erithacus,,,,,1,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus robustus,,,,,,,,,1,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus cryptoxanthus,,,,,,,,,1,,1,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus flavifrons,,,,,,1,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus gulielmi,,,,,,,,,1,,,1,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus fuscicollis,,,,,,,,,1,,,,1,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus meyeri,,,,,,,,,1,,,,,,1,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus rueppellii,,,,,,,,,1,,,,,,,,,,1,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus rufiventris,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Poicephalus senegalus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit surdus,,,,,,,1,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit batavicus,,,,,,,,,1,,,,,,,,,,,1,,,,,
PSITTACIFORMES_Psittacidae_Touit costaricensis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit dilectissimus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit huetii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit purpuratus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit stictopterus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Touit melanotus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psilopsiagon aurifrons,,,,,,,,,1,,,,,1,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psilopsiagon aymara,,,,,,,,,1,,,,,,,,,,,,1,,,,
PSITTACIFORMES_Psittacidae_Bolborhynchus ferrugineifrons,,,,,,,,,1,,,,,,1,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Bolborhynchus lineola,,,,,,,,,1,,,,,,,,,,,,,1,,,
PSITTACIFORMES_Psittacidae_Bolborhynchus orbygnesius,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Nannopsittaca panychlora,,,,,,,,,1,,,,,,,,,,,,,,1,,
PSITTACIFORMES_Psittacidae_Nannopsittaca dachilleae,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Myiopsitta fuchsi,,,,,,,,,1,,,,,,,,,,,,,,,1,
PSITTACIFORMES_Psittacidae_Myiopsitta monachus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris chrysopterus,,,,,,,1,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris cyanoptera,,,,,,,,,1,,,,,,,1,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris chiriri,,,,,,,,,1,,,,,,,,,,,,,,,,1
PSITTACIFORMES_Psittacidae_Brotogeris jugularis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris pyrrhoptera,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris sanctithomae,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris tirica,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Brotogeris versicolurus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionopsitta pileata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Triclaria malachitacea,,,,,,,,,1,,,,,,,,,1,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia aurantiocephala,,,,,,,,,1,,,,,,,,1,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia vulturina,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia barrabandi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia caica,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia haematotis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia pyrilia,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrilia pulchra,,,,,,,,,1,,,,,,,,,,1,,,,,,
PSITTACIFORMES_Psittacidae_Hapalopsittaca amazonina,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Hapalopsittaca fuertesi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Hapalopsittaca melanotis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Hapalopsittaca pyrrhops,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus chalcopterus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus fuscus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus menstruus,,,,,,,,,1,,,,,,,,,,,1,,,,,
PSITTACIFORMES_Psittacidae_Pionus seniloides,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus sordidus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus tumultuosus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus maximiliani,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionus senilis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Graydidascalus brachyurus,,,,,,,,,1,,,,,,,,,,,,,1,,,
PSITTACIFORMES_Psittacidae_Alipiopsitta xanthops,,,,,,,,,1,,,,,,,,,,,,1,,,,
PSITTACIFORMES_Psittacidae_Amazona aestiva,,,,,,,1,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona agilis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona albifrons,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona amazonica,,,,,,,,,1,,,,,,,,,,,,,,1,,
PSITTACIFORMES_Psittacidae_Amazona arausiaca,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona auropalliata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona brasiliensis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona collaria,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona dufresniana,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona farinosa,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona festiva,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona finschi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona guildingii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona imperialis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona kawalli,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona leucocephala,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona mercenarius,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona pretrei,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona versicolor,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona ochrocephala,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona oratrix,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona rhodocorytha,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona tucumana,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona vinacea,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona viridigenalis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona ventralis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona xantholora,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona guatemalae,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona tresmariae,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona barbadensis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona vittata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_amazona autumnalis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Amazona diadema,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus spengeli,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus coelestis,,,,,,,,,1,,,,,,,,,,,,,,,1,
PSITTACIFORMES_Psittacidae_Forpus crassirostris,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus cyanopygius,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus conspicillatus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus passerinus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus xanthopterygius,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus sclateri,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Forpus xanthops,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionites leucogaster,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pionites melanocephalus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Deroptyus accipitrinus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura emma,,,,,,,,,1,,,,,,,,,,,,,,,,1
PSITTACIFORMES_Psittacidae_Pyrrhura rhodocephala,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura cruentata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura orcesi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura roseifrons,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura amazonum,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura albipectus,,,,,,,,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura calliptera,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura caeruleiceps,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura devillei,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura egregia,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura frontalis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura griseipectus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura hoffmanni,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura hoematotis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura lepida,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura lucianii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura leucotis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura melanura,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura molinae,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura perlata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura viridicata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Pyrrhura rupicola,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Enicognathus ferrugineus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Enicognathus leptorhynchus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Cyanoliseus patagonus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Anodorhynchus hyacinthinus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Anodorhynchus glaucus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Anodorhynchus leari,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Rhynchopsitta terrisi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Rhynchopsitta pachyrhyncha,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Eupsittula canicularis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Eupsittula aurea,,,,,,,,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Eupsittula cactorum,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Eupsittula nana,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Eupsittula pertinax,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Conuropsis carolinensis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Aratinga auricapillus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Aratinga jandaya,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Aratinga solstitialis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Aratinga weddellii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Aratinga nenday,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Cyanopsitta spixii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Orthopsittaca manilata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Primolius auricollis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Primolius couloni,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Primolius maracana,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara chloropterus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara glaucogularis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara ambiguus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara ararauna,,,,,,,,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara macao,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara militaris,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara rubrogenys,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ara severus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Leptosittaca branickii,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Ognorhynchus icterotis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Guaruba guarouba,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Diopsittaca nobilis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Thectocercus acuticaudata,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara leucophthalmus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara euops,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara chloropterus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara brevipes,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara erythrogenys,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara finschi,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara holochlorus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara mitratus,,,,,,,,1,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara rubritorquis,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara strenuus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittacidae_Psittacara frontatus,,,,,,,,,1,,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittrichas fulgidus,,,,1, , , , ,1,1,  , , , , , , , ,  , , , , , , 
PSITTACIFORMES_Psittaculidae_Coracopsis barklyi,,,,,1,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Coracopsis niger,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Coracopsis vasa,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Micropsitta bruijnii,,,,,,1,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Micropsitta geelvinkiana,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Micropsitta keiensis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Micropsitta meeki,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Micropsitta pusio,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_micropsitta finschii,,,,,,,1,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Polytelis anthopeplus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Polytelis swainsonii,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Polytelis alexandrae,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Alisterus amboinensis,,,,,,,,1,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Alisterus chloropterus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Alisterus scapularis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Aprosmictus jonquillaceus,,,,,,,,,,1,1,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Aprosmictus erythropterus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus mindorensis,,,,,,,,,,1,,1,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus luconensis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus montanus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus discurus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus flavicans,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus mada,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus platenae,,,,,,,,1,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus platurus,,,,,,,,,,1,,,1,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus verticalis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prioniturus waterstradti,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Eclectus roratus,,,,,,,,,,1,,,,1,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Geoffroyus geoffroyi,,,,,,,,,,1,,,,,1,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Geoffroyus heteroclitus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Geoffroyus simplex,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittinus cyanurus,,,,,,,,,,1,,,,,,1,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Tanygnathus megalorynchos,,,,,,,1,1,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Tanygnathus sumatranus,,,,,,,,,,1,,,,,,,1,,,,,,,,
PSITTACIFORMES_Psittaculidae_Tanygnathus lucionensis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula eques,,,,,,,,,,1,,,,,,,,1,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula columboides,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula calthorpae,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula caniceps,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula eupatria,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula finschii,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula himalayana,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula krameri,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula longicauda,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula cyanocephala,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula derbiana,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacula roseata,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_psittacula alexandri,,,,,,,,1,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacella brehmii,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacella madaraszi,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacella picta,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psittacella modesta,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psephotus haematonotus,,,,,,,,,,1,,,,,,,,,1,,,,,,
PSITTACIFORMES_Psittaculidae_Northiella haematogaster,,,,,,,,,,1,,,,,,,,,,1,,,,,
PSITTACIFORMES_Psittaculidae_Northiella narethae,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psephotellus pulcherrimus,,,,,,,,,,1,,,,,,,,,,,1,,,,
PSITTACIFORMES_Psittaculidae_Psephotellus dissimilis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Psephotellus varius,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Purpureicephalus spurius,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Platycercus adscitus,,,,,,,,,,1,,,,,,,,,,,,1,,,
PSITTACIFORMES_Psittaculidae_Platycercus caledonicus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Platycercus eximius,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Platycercus icterotis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Platycercus venustus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_platycercus elegans,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Barnardius barnardi,,,,,,,,,,1,,,,,,,,,,,,,1,,
PSITTACIFORMES_Psittaculidae_Lathamus discolor,,,,,,,,,,1,,,,,,,,,,,,,,1,
PSITTACIFORMES_Psittaculidae_Prosopeia personata,,,,,,,,,,1,,,,,,,,,,,,,,,1
PSITTACIFORMES_Psittaculidae_Prosopeia splendens,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Prosopeia tabuensis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Eunymphicus cornotus,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Eunymphicus uvaensis,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Cyanoramphus auriceps,,,,,,,,,,1,,,,,,,,,,,,,,,
PSITTACIFORMES_Psittaculidae_Cyanoramphus cookii,,,,,,,,1,,1,,,,,,,,,,,,,,,
