clade,tree,presence
Phaethoquornithes,indv_0_sites_90_loci_50,FALSE
Phaethontimorphae,indv_0_sites_90_loci_50,FALSE
Aequornithes,indv_0_sites_90_loci_50,TRUE
Feraequornithes,indv_0_sites_90_loci_50,TRUE
Procellariimorphae,indv_0_sites_90_loci_50,TRUE
Pelecanimorphae,indv_0_sites_90_loci_50,TRUE
Pelecanes,indv_0_sites_90_loci_50,TRUE
Telluraves,indv_0_sites_90_loci_50,TRUE
Afroaves,indv_0_sites_90_loci_50,FALSE
Coraciimorphae,indv_0_sites_90_loci_50,TRUE
Cavitaves,indv_0_sites_90_loci_50,TRUE
Eucavitaves,indv_0_sites_90_loci_50,TRUE
Picocoraciades,indv_0_sites_90_loci_50,TRUE
Picodynastornithes,indv_0_sites_90_loci_50,TRUE
Australaves,indv_0_sites_90_loci_50,FALSE
Eufalconimorphae,indv_0_sites_90_loci_50,FALSE
Psittacopasseres,indv_0_sites_90_loci_50,FALSE
Palaeognathae,indv_25_sites_90_loci_70,TRUE
Notopalaeognathae,indv_25_sites_90_loci_70,TRUE
Novaeratitae,indv_25_sites_90_loci_70,TRUE
Dinocrypturi,indv_25_sites_90_loci_70,TRUE
Galloanserae,indv_25_sites_90_loci_70,TRUE
Neoaves,indv_25_sites_90_loci_70,TRUE
Columbimorphae,indv_25_sites_90_loci_70,FALSE
Pteroclimesites,indv_25_sites_90_loci_70,TRUE
Otidimorphae,indv_25_sites_90_loci_70,TRUE
Musophagotides,indv_25_sites_90_loci_70,FALSE
Mirandornithes,indv_25_sites_90_loci_70,TRUE
Strisores,indv_25_sites_90_loci_70,TRUE
Vanescaves,indv_25_sites_90_loci_70,TRUE
Letornithes,indv_25_sites_90_loci_70,TRUE
Daedalornithes,indv_25_sites_90_loci_70,TRUE
Sedentaves,indv_25_sites_90_loci_70,FALSE
Phaethoquornithes,indv_25_sites_90_loci_70,FALSE
Phaethontimorphae,indv_25_sites_90_loci_70,TRUE
Aequornithes,indv_25_sites_90_loci_70,TRUE
Feraequornithes,indv_25_sites_90_loci_70,TRUE
Procellariimorphae,indv_25_sites_90_loci_70,TRUE
Pelecanimorphae,indv_25_sites_90_loci_70,TRUE
Pelecanes,indv_25_sites_90_loci_70,TRUE
Telluraves,indv_25_sites_90_loci_70,TRUE
Afroaves,indv_25_sites_90_loci_70,TRUE
Coraciimorphae,indv_25_sites_90_loci_70,TRUE
Cavitaves,indv_25_sites_90_loci_70,TRUE
Eucavitaves,indv_25_sites_90_loci_70,TRUE
Picocoraciades,indv_25_sites_90_loci_70,TRUE
Picodynastornithes,indv_25_sites_90_loci_70,TRUE
Australaves,indv_25_sites_90_loci_70,TRUE
Eufalconimorphae,indv_25_sites_90_loci_70,TRUE
Psittacopasseres,indv_25_sites_90_loci_70,TRUE
Palaeognathae,indv_50_sites_50_loci_50,TRUE
Notopalaeognathae,indv_50_sites_50_loci_50,TRUE
Novaeratitae,indv_50_sites_50_loci_50,TRUE
Dinocrypturi,indv_50_sites_50_loci_50,TRUE
Galloanserae,indv_50_sites_50_loci_50,TRUE
Neoaves,indv_50_sites_50_loci_50,TRUE
Columbimorphae,indv_50_sites_50_loci_50,TRUE
Pteroclimesites,indv_50_sites_50_loci_50,TRUE
Otidimorphae,indv_50_sites_50_loci_50,TRUE
Musophagotides,indv_50_sites_50_loci_50,TRUE
Mirandornithes,indv_50_sites_50_loci_50,TRUE
Strisores,indv_50_sites_50_loci_50,TRUE
Vanescaves,indv_50_sites_50_loci_50,TRUE
Letornithes,indv_50_sites_50_loci_50,TRUE
Daedalornithes,indv_50_sites_50_loci_50,TRUE
Sedentaves,indv_50_sites_50_loci_50,TRUE
Phaethoquornithes,indv_50_sites_50_loci_50,FALSE
Phaethontimorphae,indv_50_sites_50_loci_50,TRUE
Aequornithes,indv_50_sites_50_loci_50,TRUE
Feraequornithes,indv_50_sites_50_loci_50,TRUE
Procellariimorphae,indv_50_sites_50_loci_50,TRUE
Pelecanimorphae,indv_50_sites_50_loci_50,TRUE
Pelecanes,indv_50_sites_50_loci_50,TRUE
Telluraves,indv_50_sites_50_loci_50,TRUE
Afroaves,indv_50_sites_50_loci_50,TRUE
Coraciimorphae,indv_50_sites_50_loci_50,TRUE
Cavitaves,indv_50_sites_50_loci_50,TRUE
Eucavitaves,indv_50_sites_50_loci_50,TRUE
Picocoraciades,indv_50_sites_50_loci_50,TRUE
Picodynastornithes,indv_50_sites_50_loci_50,TRUE
Australaves,indv_50_sites_50_loci_50,TRUE
Eufalconimorphae,indv_50_sites_50_loci_50,TRUE
Psittacopasseres,indv_50_sites_50_loci_50,TRUE
Palaeognathae,indv_50_sites_50_loci_70,TRUE
Notopalaeognathae,indv_50_sites_50_loci_70,TRUE
Novaeratitae,indv_50_sites_50_loci_70,TRUE
Dinocrypturi,indv_50_sites_50_loci_70,TRUE
Galloanserae,indv_50_sites_50_loci_70,TRUE
Neoaves,indv_50_sites_50_loci_70,TRUE
Columbimorphae,indv_50_sites_50_loci_70,TRUE
Pteroclimesites,indv_50_sites_50_loci_70,TRUE
